symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count
KAVABNB;-0,00012800;-4,432;0,00283742;0,00288800;0,00276000;12,10000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00288800;0,00289300;0,00274900;19503,30000000;55,33898620;2023-12-28 03:00:21.582;2023-12-29 03:00:21.582;1556705;1556952;248
KAVABTC;-0,00000084;-4,421;0,00001843;0,00001899;0,00001816;282,20000000;0,00001813;327,40000000;0,00001820;147,50000000;0,00001900;0,00001920;0,00001786;434252,00000000;8,00447692;2024-01-04 22:12:04.380;2024-01-05 22:12:04.380;12927472;12931306;3835
KAVAUSDT;-0,04800000;-5,707;0,80839364;0,84100000;0,79300000;8507,60000000;0,79300000;4812,90000000;0,79400000;1213,30000000;0,84100000;0,85200000;0,77000000;14177693,60000000;11461157,28370000;2024-01-04 22:12:09.662;2024-01-05 22:12:09.662;71211624;71262114;50491
BUSDNGN;0,00000000;0,000;0,00000000;462,64000000;0,00000000;0,00000000;460,49000000;354,77000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2024-01-02 07:49:09.645;2024-01-03 07:49:09.645;-1;-1;0
BNBNGN;0,00000000;0,000;0,00000000;43608,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
BTCNGN;-1558586,00000000;-2,834;53840820,85338411;55167437,00000000;53435229,00000000;0,00102000;53474647,00000000;0,00236000;53633894,00000000;0,00049000;54993815,00000000;55521975,00000000;52726246,00000000;3,67334000;197775640,87357000;2024-01-04 22:12:09.773;2024-01-05 22:12:09.773;8422385;8424559;2175
ARPABNB;0,00002470;13,159;0,00022302;0,00018820;0,00021240;2656,00000000;0,00021220;15885,00000000;0,00021340;2984,00000000;0,00018770;0,00024640;0,00018300;5810000,00000000;1295,73444580;2024-01-04 22:12:04.994;2024-01-05 22:12:04.994;2898004;2901242;3239
ARPABTC;0,00000017;12,500;0,00000163;0,00000136;0,00000153;5882,00000000;0,00000153;34122,00000000;0,00000154;42761,00000000;0,00000136;0,00000179;0,00000133;21320935,00000000;34,78998699;2024-01-04 22:12:09.431;2024-01-05 22:12:09.431;8345766;8364216;18451
ARPAUSDT;0,00671000;11,141;0,07107225;0,06021000;0,06694000;5739,00000000;0,06693000;8854,00000000;0,06695000;97110,90000000;0,06023000;0,07880000;0,05901000;701356449,90000000;49846982,79883200;2024-01-04 22:12:09.403;2024-01-05 22:12:09.403;51297226;51778381;481156
TRXBUSD;0,00000000;0,000;0,00000000;0,10329000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
EOSBUSD;0,00000000;0,000;0,00000000;0,63400000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
IOTXUSDT;-0,00583000;-11,700;0,04682173;0,04983000;0,04400000;2321,00000000;0,04403000;4568,00000000;0,04404000;1591,00000000;0,04983000;0,05034000;0,04348000;134455111,00000000;6295421,09255000;2024-01-04 22:12:06.438;2024-01-05 22:12:06.438;68392536;68446682;54147
RLCUSDT;-0,07600000;-4,866;1,52328832;1,56200000;1,48600000;347,80000000;1,48500000;509,50000000;1,48700000;823,60000000;1,56200000;1,57300000;1,46600000;1131278,00000000;1723262,56150000;2024-01-04 22:12:00.239;2024-01-05 22:12:00.239;39514694;39529968;15275
